angle,distance,quality,start_flag
1.359375,3968.0,62,True
193.34375,3970.0,63,True
183.359375,3970.0,45,True
183.359375,3970.0,26,True
195.375,3906.0,3,True
207.375,3970.0,42,True
213.375,3970.0,23,True
225.390625,130.0,3,True
0.0,3968.0,23,True
1.390625,3968.0,62,True
316.0,129.25,44,True
0.015625,128.0,25,True
0.03125,3968.0,5,True
0.015625,3968.0,2,True
382.015625,3970.0,47,True
0.015625,3968.0,34,True
360.03125,3969.75,14,True
342.03125,3969.75,57,True
316.03125,3969.75,44,True
0.046875,3968.0,2,True
118.046875,3970.25,45,True
166.046875,3970.25,26,True
224.0625,3970.25,2,True
286.0625,3970.25,43,True
352.0625,3970.25,18,True
424.0625,3970.25,62,True
502.078125,3970.25,42,True
76.078125,3970.5,16,True
162.078125,3970.5,60,True
288.09375,3970.5,38,True
388.09375,130.5,14,True
0.125,128.0,57,True
0.125,128.0,36,True
0.140625,128.0,15,True
0.140625,128.0,58,True
0.140625,128.0,37,True
0.15625,128.0,16,True
0.15625,3968.0,60,True
0.140625,3968.0,33,True
118.140625,131.25,11,True
0.171875,128.0,62,True
0.171875,3968.0,41,True
0.15625,128.0,6,True
0.1875,3968.0,0,True
0.171875,128.0,25,True
0.203125,128.0,22,True
0.203125,128.0,2,True
0.203125,128.0,45,True
0.21875,128.0,24,True
0.21875,128.0,3,True
0.21875,128.0,47,True
0.234375,128.0,26,True
0.234375,3968.0,5,True
0.234375,3968.0,49,True
0.25,3968.0,28,True
0.25,128.0,8,True
0.25,128.0,50,True
0.265625,3968.0,30,True
52.234375,3716.0,54,True
0.25,128.0,50,True
0.28125,128.0,31,True
0.28125,3968.0,11,True
290.265625,3970.75,53,True
0.265625,3968.0,14,True
444.265625,131.75,59,True
0.296875,3968.0,56,True
0.3125,3968.0,35,True
0.28125,3968.0,38,True
294.296875,3975.25,18,True
0.328125,3968.0,37,True
0.328125,3968.0,16,True
0.3125,3968.0,12,True
42.3125,3978.75,55,True
236.3125,3978.75,34,True
350.328125,3978.75,13,True
380.328125,3978.75,56,True
434.328125,3978.75,36,True
458.34375,3978.75,15,True
24.34375,3979.0,58,True
222.34375,3979.0,37,True
394.359375,3979.0,16,True
36.359375,3979.25,59,True
166.359375,3979.25,39,True
284.375,3979.25,17,True
466.375,1675.25,61,True
298.375,3979.5,39,True
0.390625,3968.0,56,True
256.390625,131.25,36,True
0.421875,128.0,25,True
0.4375,128.0,5,True
0.4375,128.0,48,True
0.4375,3968.0,27,True
0.421875,3968.0,2,True
0.421875,3968.0,51,True
0.4375,3968.0,29,True
0.4375,3712.0,20,True
394.4375,3970.25,63,True
332.453125,3970.25,45,True
260.453125,3970.25,25,True
204.46875,3970.25,1,True
138.46875,3970.25,48,True
76.46875,3714.25,25,True
58.484375,3970.25,3,True
94.484375,3970.25,49,True
124.484375,3970.25,30,True
150.5,3970.25,3,True
0.5,3968.0,45,True
394.5,3970.25,21,True
504.515625,3970.25,0,True
0.515625,3968.0,42,True
364.515625,3970.5,19,True
0.515625,3968.0,61,True
118.53125,130.75,40,True
0.5625,3968.0,16,True
0.5625,128.0,60,True
0.5625,3968.0,38,True
0.546875,3968.0,31,True
250.546875,3981.75,10,True
0.5625,3968.0,43,True
494.5625,3970.5,24,True
486.578125,3970.5,0,True
46.578125,130.75,44,True
0.609375,128.0,20,True
0.609375,128.0,63,True
0.609375,128.0,43,True
0.625,2432.0,22,True
0.625,3968.0,2,True
0.59375,3968.0,59,True
240.609375,3980.75,38,True
122.609375,3980.75,17,True
14.609375,3980.75,61,True
468.625,3980.5,40,True
410.625,3980.5,19,True
318.625,3980.5,63,True
304.640625,3980.5,42,True
332.640625,3980.5,21,True
376.65625,3980.5,0,True
352.65625,140.5,43,True
0.6875,3968.0,8,True
0.671875,3200.0,4,True
168.671875,2698.5,47,True
0.703125,3968.0,9,True
0.6875,3968.0,35,True
92.6875,3971.75,16,True
166.6875,131.75,58,True
0.71875,128.0,55,True
0.734375,3968.0,34,True
0.734375,3968.0,13,True
0.71875,3968.0,6,True
0.71875,3968.0,50,True
0.734375,3968.0,11,True
408.734375,3970.75,56,True
268.734375,3970.75,36,True
192.75,3970.75,14,True
142.75,3970.75,58,True
192.75,3970.75,36,True
220.765625,3970.75,19,True
0.765625,3968.0,63,True
0.78125,3968.0,48,True
0.78125,3968.0,35,True
172.796875,3969.25,7,True
196.796875,3969.25,43,True
224.796875,3969.25,24,True
256.8125,3969.25,6,True
290.8125,3969.25,45,True
324.8125,3969.25,35,True
362.828125,3969.25,9,True
404.828125,3969.25,42,True
446.828125,3969.25,18,True
492.828125,3969.25,57,True
30.84375,3969.5,45,True
0.859375,3968.0,28,True
0.875,3968.0,7,True
0.859375,3968.0,29,True
306.859375,3969.5,12,True
340.859375,3969.5,51,True
396.875,3969.5,28,True
466.875,3969.5,3,True
30.875,3969.75,54,True
108.890625,3969.75,21,True
198.890625,3969.75,9,True
292.890625,3969.75,42,True
390.90625,3969.75,19,True
496.90625,3969.75,63,True
100.90625,3970.0,37,True
224.921875,3970.0,12,True
356.921875,3202.0,54,True
0.921875,3968.0,52,True
0.9375,3968.0,10,True
370.9375,3970.25,52,True
0.9375,3968.0,25,True
0.96875,3968.0,62,True
0.96875,3968.0,42,True
0.953125,3968.0,21,True
0.953125,128.0,58,True
0.984375,3968.0,43,True
1.0,3968.0,15,True
225.0,3968.75,31,True
225.0,3968.75,38,True
225.015625,3968.75,6,True
227.015625,3968.75,60,True
231.015625,3968.75,40,True
235.015625,3968.75,39,True
241.03125,3968.75,14,True
247.03125,3968.75,56,True
255.03125,3968.75,46,True
263.046875,3968.75,57,True
273.046875,3968.75,44,True
283.0625,3968.75,24,True
295.0625,3968.75,37,True
307.0625,3968.75,63,True
321.078125,3968.75,25,True
337.078125,3968.75,34,True
353.078125,3968.75,24,True
371.09375,3968.75,2,True
389.09375,3968.75,60,True
409.09375,3968.75,39,True
429.09375,3968.75,30,True
453.109375,3968.75,30,True
479.109375,3968.75,44,True
505.125,3968.75,3,True
21.125,3969.0,35,True
51.125,3969.0,59,True
81.125,3969.0,17,True
115.140625,3969.0,12,True
151.140625,129.0,47,True
1.15625,128.0,37,True
1.15625,128.0,16,True
1.15625,128.0,59,True
1.171875,128.0,39,True
1.171875,128.0,18,True
1.171875,128.0,61,True
1.1875,128.0,40,True
1.1875,3968.0,22,True
1.203125,3968.0,1,True
1.171875,128.0,48,True
1.203125,3968.0,23,True
1.203125,3968.0,18,True
307.21875,3968.75,21,True
319.21875,3968.75,19,True
327.21875,3968.75,62,True
331.234375,3968.75,41,True
337.234375,3968.75,7,True
347.234375,3968.75,63,True
363.234375,3968.75,45,True
379.25,128.75,61,True
1.265625,128.0,8,True
1.265625,128.0,51,True
1.265625,128.0,31,True
1.28125,128.0,10,True
1.28125,128.0,53,True
1.28125,128.0,34,True
1.296875,128.0,13,True
1.296875,128.0,57,True
1.296875,3968.0,36,True
1.3125,3968.0,16,True
1.296875,3968.0,47,True
1.296875,128.0,63,True
1.328125,3968.0,18,True
1.328125,3968.0,62,True
1.328125,3968.0,41,True
1.34375,3712.0,21,True
1.328125,3968.0,26,True
215.328125,130.0,2,True
1.359375,128.0,22,True
1.359375,128.0,1,True
1.359375,3968.0,44,True
201.34375,3970.0,51,True
193.359375,3970.0,23,True
189.359375,3970.0,7,True
191.359375,3970.0,46,True
197.375,3906.0,28,True
205.375,3970.0,5,True
217.375,3970.0,47,True
241.390625,3970.0,32,True
1.390625,3968.0,46,True
340.0,3969.25,40,True
308.0,129.25,7,True
0.015625,128.0,51,True
0.03125,3968.0,30,True
0.015625,3968.0,27,True
0.015625,3968.0,25,True
362.03125,3969.75,3,True
354.03125,3969.75,47,True
326.03125,3969.75,25,True
0.03125,3968.0,46,True
104.046875,3970.25,26,True
144.046875,3970.25,4,True
194.046875,3970.25,47,True
258.0625,3970.25,24,True
328.0625,3970.25,3,True
398.0625,3970.25,43,True
474.078125,3970.25,22,True
38.078125,3970.5,5,True
118.078125,3970.5,46,True
210.09375,3970.5,21,True
298.09375,130.5,2,True
0.125,128.0,39,True
0.125,3968.0,18,True
0.109375,128.0,0,True
0.140625,3968.0,41,True
0.125,128.0,33,True
0.140625,128.0,63,True
0.15625,128.0,42,True
0.15625,3968.0,24,True
0.171875,3968.0,4,True
0.140625,128.0,38,True
0.171875,3968.0,26,True
0.15625,3968.0,54,True
0.15625,128.0,30,True
0.1875,128.0,28,True
0.203125,128.0,7,True
0.203125,128.0,50,True
0.203125,128.0,30,True
0.21875,128.0,9,True
0.21875,128.0,52,True
0.21875,128.0,32,True
0.234375,3968.0,11,True
0.234375,3968.0,55,True
0.234375,3968.0,35,True
0.25,3968.0,14,True
0.25,128.0,57,True
0.25,128.0,35,True
0.265625,3968.0,14,True
0.234375,2432.0,39,True
160.25,132.0,18,True
0.28125,128.0,16,True
0.28125,3968.0,60,True
0.265625,3712.0,36,True
0.265625,3968.0,0,True
434.265625,131.75,45,True
0.296875,3968.0,41,True
0.3125,3968.0,21,True
0.28125,3968.0,24,True
392.296875,3975.25,3,True
0.328125,3968.0,22,True
0.328125,3968.0,2,True
0.296875,3968.0,62,True
